dma_name,principal_city,hardness_mgl,demand_t1,demand_t2,demand_t3,demand_t4,population,median_income,hardness_source,precision_flag
"Sioux City, IA",Sioux City,130,,,,,393800,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Sioux Falls (Mitchell), SD",Sioux Falls,150,,,,,716500,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"South Bend-Elkhart, IN",South Bend,250,,,,,829500,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Spokane, WA",Spokane,200,,,,,1240650,,https://my.spokanecity.org/publicworks/water/,approximate
"Springfield, MO",Springfield,200,,,,,1135700,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Springfield-Holyoke, MA",Springfield,75,,,,,668025,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"St. Joseph, MO",St. Joseph,200,,,,,111150,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"St. Louis, MO",St. Louis,130,,,,,3184675,77000,https://www.stlwater.com/water-quality/,approximate
"Syracuse, NY",Syracuse,75,,,,,967575,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Tallahassee, FL-Thomasville, GA",Tallahassee,155,,,,,758825,,https://dropconnect.com/water-hardness-in-florida-cities/,approximate
"Tampa-St. Petersburg (Sarasota), FL",Tampa,186,,,,,5553100,71500,https://dropconnect.com/water-hardness-in-florida-cities/,precise
"Terre Haute, IN",Terre Haute,250,,,,,356650,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Toledo, OH",Toledo,130,,,,,1060125,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Topeka, KS",Topeka,250,,,,,440625,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Traverse City-Cadillac, MI",Traverse City,120,,,,,667400,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Tri-Cities, TN-VA",Tri,130,,,,,828800,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Tucson (Sierra Vista), AZ",Tucson,275,,,,,1244150,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Tulsa, OK",Tulsa,210,,,,,1439450,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Twin Falls, ID",Twin Falls,100,,,,,192675,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Tyler-Longview(Lufkin & Nacogdoches), TX",Tyler,32,,,,,744750,,https://dropconnect.com/blogs/articles/water-hardness-in-texas-cities,approximate
"Utica, NY",Utica,75,,,,,255400,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Victoria, TX",Victoria,181,,,,,82325,,https://dropconnect.com/blogs/articles/water-hardness-in-texas-cities,approximate
"Waco-Temple-Bryan, TX",Waco,250,,,,,1049000,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Washington, DC (Hagerstown, MD)",Washington,120,,,,,6576600,121000,https://www.dcwater.com/resources/waterquality/testresults,approximate
"Watertown, NY",Watertown,75,,,,,233375,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Wausau-Rhinelander, WI",Wausau,140,,,,,485325,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"West Palm Beach-Ft. Pierce, FL",West Palm Beach,100,,,,,2341975,80000,https://www.wpb.org/government/public-utilities/water-quality-reports,approximate
"Wheeling, WV-Steubenville, OH",Wheeling,130,,,,,316375,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Wichita Falls, TX-Lawton, OK",Wichita Falls,250,,,,,391700,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Wichita-Hutchinson, KS Plus",Wichita,250,,,,,1147475,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Wilkes Barre-Scranton, PA",Scranton,75,,,,,1472975,65000,https://www.amwater.com/paaw/water-quality/,approximate
"Wilmington, NC",Wilmington,120,,,,,600525,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Yakima-Pasco-Richland-Kennewick, WA",Yakima,70,,,,,670075,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Youngstown, OH",Youngstown,130,,,,,657500,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Yuma, AZ-El Centro, CA",Yuma,275,,,,,311650,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
"Zanesville, OH",Zanesville,130,,,,,81125,,https://www.stone-stream.com/blogs/knowledgebase/hard-water-map,approximate
